Unnamed: 0,Unnamed: 0.1,Spanish,English
0,0,que,what
1,1,de,from
2,2,no,not
3,3,a,a
4,4,la,the
5,5,el,the
6,6,es,it is
7,7,y,Y
8,8,en,in
9,9,lo,it
10,10,un,an
11,11,por,for
12,12,me,I
13,13,una,a
14,14,te,tea
15,15,los,the
16,16,se,I know
17,17,con,with
18,18,para,for
19,19,mi,me
20,20,está,is
21,21,si,Yes
22,22,bien,well
23,23,pero,but
24,24,yo,I
25,25,eso,that
26,26,las,the
27,27,sí,Yes
28,28,su,his
29,29,tu,you
30,30,aquí,here
31,31,del,of the
32,32,al,to the
34,34,le,you
35,35,más,plus
36,36,esto,this
37,37,ya,Already
38,38,todo,everything
39,39,esta,is
40,40,vamos,we go
41,41,muy,very
42,42,hay,there is
43,43,ahora,now
44,44,algo,something
45,45,estoy,I'm
46,46,tengo,have
47,47,nos,us
48,48,tú,your
49,49,nada,any
50,50,cuando,when
51,51,ha,he has
52,52,este,East
53,53,sé,HE
54,54,estás,these
55,55,así,So
56,56,puedo,may l
57,57,cómo,as
58,58,quiero,I want
59,59,sólo,single
60,60,soy,am
61,61,tiene,have
62,62,gracias,thank you
63,63,o,either
64,64,él,the
65,65,bueno,well
66,66,fue,It was
67,67,ser,be
68,68,hacer,make
69,69,son,are
70,70,todos,everyone
71,71,era,it was
72,72,eres,are
73,73,vez,time
74,74,tienes,do you have
75,75,creo,believe
76,76,ella,she
77,77,he,He.
78,78,ese,that
79,79,voy,go
80,80,puede,may
81,81,sabes,You know
82,82,hola,hello
83,83,sus,their
84,84,porque,because
85,85,dios,god
86,86,quién,whose
87,87,nunca,never
88,88,dónde,where
89,89,quieres,you want
90,90,casa,House
91,92,esa,that
92,93,dos,two
93,94,tan,so
94,95,señor,mister
95,96,tiempo,weather
96,97,verdad,TRUE
97,98,estaba,was
98,99,mejor,best
99,100,están,is it so
100,101,va,goes
101,102,hombre,men
102,103,usted,you
103,104,mucho,much
104,105,hace,does
105,106,entonces,so
106,107,siento,I feel
107,108,tenemos,we have
108,109,puedes,can you
109,110,ahí,there
110,111,ti,you
111,112,vida,lifetime
112,113,ver,watch
113,114,alguien,somebody
114,115,sr,Mr
115,116,hasta,until
116,117,sin,without
117,118,mí,my
118,119,solo,only
119,120,años,years
120,121,sobre,on
121,122,decir,tell
122,123,uno,one
123,125,oh,Oh
124,126,ir,to go
125,127,cosas,stuff
126,128,también,also
127,129,antes,before
128,130,has,HAS.
129,131,ni,neither
130,132,mis,MIS
131,133,día,day
132,134,estar,to be
133,135,estamos,we're
134,136,noche,evening
135,137,nadie,no one
136,138,otra,other
137,139,quiere,wants
138,140,nosotros,us
139,141,poco,bit
140,142,padre,father
141,143,trabajo,worked
142,144,gente,people
143,145,mira,look
144,146,vas,you go
145,147,sea,be
146,148,les,them
147,149,donde,where
148,150,mismo,same
149,151,hecho,done
150,152,ellos,they
151,153,dijo,said
152,154,pasa,pass
153,155,dinero,money
154,156,hijo,son
155,157,tal,such
156,158,otro,other
157,159,hablar,to talk
158,160,seguro,sure
159,161,claro,Sure
160,162,estas,are
161,163,lugar,place
162,164,mundo,world
163,165,amigo,dude
164,166,espera,waiting
165,167,mierda,shit
166,168,han,they have
167,169,tus,your
168,170,sabe,knows
169,171,después,later
170,172,momento,moment
171,173,desde,from
172,174,fuera,out
173,175,cosa,stuff
174,176,tipo,type
175,177,mañana,morning
176,178,podemos,can
177,179,dije,said
178,180,gran,great
179,181,necesito,needed
180,182,estado,condition
181,183,podría,I might
182,184,acuerdo,agreement
183,185,papá,dad
184,186,tener,have
185,187,dice,He says
186,188,mío,Own
187,189,crees,you think
188,190,buena,good
189,191,gusta,like
190,192,nuestro,our
191,193,nuevo,new
192,194,será,will be
193,195,haciendo,doing
194,196,días,days
195,197,nombre,Name
196,198,buen,good
197,199,había,there was
198,200,ven,come
199,201,tres,three
200,202,menos,less
201,203,debe,has to
202,204,tenía,I had
203,205,mal,evil
204,206,conmigo,with me
205,207,madre,mother
206,208,hoy,today
207,209,quien,who
208,210,sido,been
209,211,mamá,mom
210,212,tienen,have
211,213,luego,later
212,214,todas,all
213,215,allí,over there
214,216,toda,all
215,217,hora,time
216,218,mujer,women
217,219,visto,seen
218,220,haces,you do
219,221,importa,import
220,222,contigo,with you
221,223,ve,go
222,224,tarde,afternoon
223,225,oye,hey
224,226,parte,part
225,227,haber,to have
226,228,hombres,mens
227,229,problema,issue
228,230,mas,plus
229,231,saber,to know
230,232,quería,wanted
231,233,aún,still
232,234,veces,times
233,235,nuestra,our
234,236,hacerlo,do it
235,237,cada,every
236,238,hizo,made
237,239,veo,I see
238,240,tanto,so much
239,241,razón,reason
240,242,ustedes,your
241,243,idea,idea
242,244,esos,those
243,245,van,go
244,246,quizá,maybe
245,247,debo,I shall
246,249,cierto,TRUE
247,250,ud,You
248,251,muerto,dead
249,252,unos,some
250,253,estos,these
251,254,salir,go out
252,255,policía,policeman
253,256,realmente,Really
254,257,demasiado,too
255,258,familia,family
256,259,pueden,they can
257,260,cabeza,head
258,261,hemos,we have
259,262,amigos,friends
260,263,chica,girl
261,264,cariño,dear
262,265,lado,side
263,266,allá,there
264,267,entre,Come in
265,268,minutos,minutes
266,269,digo,say
267,270,algún,some
268,271,serio,I laughed
269,272,cuidado,watch out
270,273,pasó,He passed
271,274,buenas,good
272,275,somos,we are
273,276,amor,love
274,277,puerta,door
275,278,ves,you see
276,279,vaya,wow
277,280,ah,ah
278,281,suerte,luck
279,282,eh,Hey
280,283,rápido,Quick
281,284,cuenta,bill
282,285,quizás,maybe
283,286,esas,those
284,287,pues,then
285,288,pasado,last
286,289,pensé,I thought
287,290,todavía,yet
288,291,hermano,brother
289,292,debes,you should
290,293,casi,almost
291,294,forma,way
292,295,aqui,here
293,296,chico,guy
294,297,ok,okay
295,298,dicho,saying
296,299,nueva,new
297,300,sabía,I knew
298,301,muchas,many
299,302,dentro,inside
300,303,hice,I made
301,304,contra,against
302,305,auto,auto
303,306,camino,path
304,307,ayuda,help
305,308,primera,first
306,309,hacia,toward
307,310,vi,saw
308,311,miedo,fear
309,312,adiós,goodbye
310,313,primero,first
311,314,debería,should
312,315,poder,can
313,316,niños,kids
314,317,sería,would
315,318,historia,history
316,319,hey,Hey
317,321,ciudad,town
318,322,dijiste,said
319,323,espero,I hope
320,324,cuánto,how many
321,325,esposa,wife
322,326,pronto,early
323,327,chicos,Boys
324,328,cualquier,any
325,329,viejo,old
326,330,debemos,we must
327,331,deja,leaves
328,332,año,year
329,333,muerte,death
330,334,hablando,speaking
331,335,manos,hands
332,336,da,gives
333,337,loco,mad
334,338,problemas,problems
335,340,guerra,war
336,341,semana,week
337,342,pasar,happen
338,343,vale,OK
339,344,cuál,which
340,345,viene,comes
341,346,volver,return
342,347,toma,taking
343,348,caso,case
344,349,agua,Water
345,350,haré,I will do
346,351,vete,go away
347,352,entiendo,I get it
348,353,horas,hours
349,354,personas,persons
350,355,capitán,captain
351,356,adelante,go ahead
352,357,niño,little boy
353,358,listo,clever
354,360,buenos,good ones
355,361,iba,I was going
356,362,juntos,together
357,363,dame,give to me
358,364,único,unique
359,365,déjame,let me
360,366,cerca,close
361,367,otros,others
362,368,sigue,follow
363,369,grande,big
364,370,arriba,up
365,371,jefe,boss
366,372,habla,speech
367,373,supongo,I suppose
368,374,manera,way
369,375,quieren,They want.
370,376,feliz,happy
371,377,significa,it means
372,378,sangre,blood
373,379,fin,The end
374,380,bajo,under
375,381,llama,calls
376,382,venir,come
377,383,morir,To die
378,384,importante,important
379,385,hiciste,did
380,386,ojos,eyes
381,387,escucha,listens
382,388,entrar,get in
383,389,ningún,No.
384,390,corazón,heart
385,391,diablos,Devils
386,392,necesitamos,we need
387,393,atrás,behind
388,394,durante,during
389,395,dices,You say
390,396,nuestros,our
391,397,persona,person
392,398,abajo,below
393,399,dr,Dr.
394,400,hija,daughter
395,401,dejar,let
396,402,necesita,needs
397,403,llegar,get
398,404,hago,do
399,405,señora,madam
400,406,haya,is
401,407,suficiente,enough
402,408,doctor,doctor
403,409,gustaría,would like
404,410,tierra,land
405,411,cara,expensive
406,412,siquiera,even
407,413,genial,brilliant
408,414,cree,CREE.
409,415,supuesto,supposed
410,416,equipo,team
411,417,justo,just
412,418,juego,match
413,419,ninguna,none
414,420,matar,to kill
415,421,cinco,five
416,422,dicen,they say
417,423,amo,love
418,424,cuándo,when
419,425,pequeño,short
420,426,algunos,Some
421,427,conozco,know
422,428,clase,class
423,429,maldito,damned
424,430,unas,nail
425,431,muchos,Many
426,432,hubiera,had
427,433,segundo,second
428,434,aunque,although
429,435,pueda,can.
430,436,dime,tell me
431,437,igual,Same
432,438,comida,meal
433,439,ay,Oh
434,440,cuerpo,body
435,441,encontrar,find
436,442,fuerte,strong
437,443,vuelta,lap
438,444,venga,come on
439,445,creer,believe
440,446,realidad,reality
441,447,saben,Saben.
442,448,puta,bitch
443,449,deberías,you should
444,450,pregunta,Question
445,451,fui,I was
446,452,cuatro,four
447,453,sra,mrs
448,454,primer,first
449,455,trabajar,to work
450,456,e,and
451,457,hagas,you do
452,458,alto,high
453,459,maldita,damn
454,460,comer,to eat
455,461,número,number
456,462,dar,give
457,463,necesitas,you need
458,464,oportunidad,opportunity
459,465,punto,point
460,466,misma,one.
461,467,última,last.
462,468,afuera,outside
463,469,mujeres,women
464,470,pensar,to think
465,471,fueron,were
466,472,difícil,hard
467,473,vivir,to live
468,474,paso,He passed
469,475,malo,evil
470,476,estabas,You were there
471,477,vivo,live
472,478,haga,make
473,479,queda,is left over
474,480,hijos,sons
475,481,mayor,elder
476,482,fiesta,party
477,483,hacen,make
478,484,medio,"means, medium"
479,485,algunas,some
480,486,basta,Enough
481,487,arma,weapon
482,488,vino,wine
483,489,meses,months
484,490,cuarto,fourth
485,491,éste,East
486,492,escuela,school
487,493,esté,East
488,494,dólares,Dollars
489,495,tío,uncle
490,496,posible,possible
491,497,tuve,I had
492,498,fácil,easy
493,499,preocupes,worry
494,500,luz,light
495,501,eran,they were
496,502,carajo,Carajo.
497,503,final,final
498,504,lista,ready
499,505,trata,treats
500,506,armas,weapons
501,507,hermana,sister
502,508,exactamente,exactly
503,509,chicas,girls
504,510,podía,I could
505,511,bastante,quite
506,512,seguridad,security
507,513,pasando,going
508,514,esperando,waiting for
509,515,acá,here
510,516,teléfono,telephone
511,517,perro,dog
512,518,fuego,fire
513,519,murió,he died
514,520,tampoco,either
515,521,sola,alone
516,522,estuvo,he was
517,523,verte,to see you
518,524,iré,I will go
519,525,tenido,Dyed
520,527,veras,you will see
521,528,adónde,where to
522,529,buscando,searching
523,530,cuanto,how much
524,531,padres,parents
525,532,paz,peace
527,534,estará,will be
528,535,cual,which
529,536,perdón,forgiveness
530,537,asi,So
531,538,jugar,to play
532,539,pensando,thinking
533,541,sabemos,we know
534,542,recuerdo,memory
535,543,par,pair
536,544,joven,young
537,545,seguir,"follow, continue"
538,546,pueblo,village
539,547,tenga,have
540,548,caballeros,gentlemen
541,549,idiota,moron
542,550,dio,gave
543,551,minuto,minute
544,552,bebé,baby
545,553,única,only
546,554,lejos,far
547,555,nuestras,ours
548,556,plan,plan
549,557,pienso,I think
550,558,sentido,sense
551,559,dormir,to sleep
552,560,digas,you say
553,561,palabra,word
554,562,correcto,Right
555,563,control,control
556,564,vemos,we see
557,565,entiendes,you understand
558,566,país,country
559,567,seis,six
560,568,último,latest
561,569,ésta,is
562,570,diga,SIGE.
563,571,podrías,could you
564,572,pequeña,small
565,573,cállate,shut up
566,574,trato,deal
567,575,rey,king
568,576,sucede,happens
569,577,muchachos,Boys
570,578,jamás,Never
571,579,cama,bed
572,580,srta,Ms
573,581,ayudar,to help
574,582,acerca,about
575,583,di,gave
576,584,cambio,change
577,585,falta,lack
578,586,hospital,hospital
579,587,lleva,carries
580,588,presidente,President
581,589,mil,one thousand
582,590,gusto,taste
583,591,conoces,you know
584,592,diciendo,saying
585,593,os,you
586,594,ido,gone
587,595,general,general
588,596,extraño,weird
589,597,semanas,weeks
590,598,coche,car
591,599,peor,worse
592,600,mucha,a lot
593,601,disculpe,excuse me
594,602,diré,I'll say
595,603,anoche,last night
596,604,perder,to lose
597,605,vámonos,Let's go
598,606,nave,ship
599,607,cielo,heaven
600,608,habrá,there will be
601,609,orden,order
602,610,segura,safe
603,611,querida,Dear
604,612,niña,little girl
605,613,increíble,amazing
606,614,además,what's more
607,615,deben,they should
608,616,libro,book
609,617,calle,street
610,618,café,coffee
611,619,piensas,You think
612,620,hacemos,we make
613,621,especial,special
614,622,queremos,we want
615,623,irme,go
616,624,perfecto,perfect
617,625,buscar,search for
618,626,odio,hate
619,627,piensa,think
620,628,oficina,office
621,629,hablas,speak
622,630,libre,free
623,631,agente,agent
624,632,york,york
625,633,llamar,call
626,634,mala,bad
627,635,detrás,behind
628,636,viste,dresses
629,637,dile,tell him
630,638,grandes,large
631,639,recuerdas,remember
632,640,real,real
633,641,estaban,were
634,642,mía,mine
635,643,frente,front
636,644,perdido,lost
637,645,llamo,called
638,646,muertos,dead
639,647,millones,millions
640,648,asesino,killer
641,649,sueño,sleep
642,650,quisiera,I would like
643,651,habría,there would be
644,652,hará,he will do
645,653,viaje,ride
646,654,probablemente,probably
647,655,resto,rest
648,656,estaré,I will be
649,657,maldición,damn
650,658,lamento,lament
651,659,muchacho,young guy
652,660,avión,plane
653,661,ropa,clothing
654,662,fuerza,strength
655,663,llamado,called
656,664,oído,ear
657,665,dado,dice
658,666,encima,above
659,667,negro,black
660,668,usar,wear
661,669,información,information
662,670,uds,You
663,671,preguntas,questions
664,672,tuvo,had
665,673,secreto,secret
666,674,vuelve,returns
667,675,miren,Look
668,676,quieras,want.
669,677,haría,would do
670,678,acaba,just
671,679,otras,Others
672,680,incluso,even
673,681,sientes,you feel
674,682,deberíamos,we should
675,683,haz,make
676,684,decirte,tell you
677,685,boca,mouth
678,686,dolor,pain
679,687,baño,bath
680,688,adentro,indoors
681,689,profesor,teacher
682,690,habitación,room
683,691,daño,damage
684,692,tuyo,yours
685,693,seas,Seas.
686,694,noticias,news
687,695,demás,the rest
688,696,querido,darling
689,697,duro,Lasted
690,698,poner,place
691,699,prueba,Test
692,700,mire,Look
693,701,tonto,silly
694,702,campo,countryside
695,703,siendo,being
696,704,diez,ten
697,705,ése,that
698,706,tranquilo,calm
699,707,asunto,business
700,708,acabó,just
701,709,quédate,stay
702,710,derecho,straight
703,711,placer,pleasure
704,712,recuerda,remember
705,713,estuve,was
706,714,tratando,trying
707,715,ejército,army
708,716,futuro,future
709,717,llevar,bring
710,718,compañía,company
711,719,venido,I come
712,720,listos,ready
713,721,haremos,will
714,722,sitio,place
715,723,verlo,see him
716,724,puesto,Market Stall
