Spanish,English
que,what
de,from
no,not
a,a
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,an
por,for
qué,than
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yes
bien,well
pero,but
yo,I
eso,that
las,the
sí,Yes
su,his
tu,you
aquí,here
del,of the
al,to the
como,What
le,you
más,plus
esto,this
ya,Already
todo,everything
esta,is
vamos,we go
muy,very
hay,there is
ahora,now
algo,something
estoy,I'm
tengo,have
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,East
sé,HE
estás,these
así,So
puedo,may l
cómo,as
quiero,I want
sólo,single
soy,am
tiene,have
gracias,thank you
o,either
él,the
bueno,well
fue,It was
ser,be
hacer,make
son,are
todos,everyone
era,it was
eres,are
vez,time
tienes,do you have
creo,believe
ella,she
he,He.
ese,that
voy,go
puede,may
sabes,You know
hola,hello
sus,their
porque,because
dios,god
quién,whose
nunca,never
dónde,where
quieres,you want
casa,House
favor,favour
esa,that
dos,two
tan,so
señor,mister
tiempo,weather
verdad,TRUE
estaba,was
mejor,best
están,is it so
va,goes
hombre,men
usted,you
mucho,much
hace,does
entonces,so
siento,I feel
tenemos,we have
puedes,can you
ahí,there
ti,you
vida,lifetime
ver,watch
alguien,somebody
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,tell
uno,one
siempre,forever
oh,Oh
ir,to go
cosas,stuff
también,also
antes,before
has,HAS.
ni,neither
mis,MIS
día,day
estar,to be
estamos,we're
noche,evening
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,bit
padre,father
trabajo,worked
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,said
pasa,pass
dinero,money
hijo,son
tal,such
otro,other
hablar,to talk
seguro,sure
claro,Sure
estas,are
lugar,place
mundo,world
amigo,dude
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,later
momento,moment
desde,from
fuera,out
cosa,stuff
tipo,type
mañana,morning
podemos,can
dije,said
gran,great
necesito,needed
estado,condition
podría,I might
acuerdo,agreement
papá,dad
tener,have
dice,He says
mío,Own
crees,you think
buena,good
gusta,like
nuestro,our
nuevo,new
